species,year,index.raw,lci.raw,uci.raw,firstyear,lastyear
Abert's Towhee,1970,0.888739,0.423236,2.065741,1970,2017
Abert's Towhee,1971,0.930063,0.448047,2.143553,1970,2017
Abert's Towhee,1972,0.924209,0.45433,2.111613,1970,2017
Abert's Towhee,1973,0.897231,0.434929,1.966602,1970,2017
Abert's Towhee,1974,0.965338,0.479735,2.138817,1970,2017
Abert's Towhee,1975,0.966021,0.48852,2.060098,1970,2017
Abert's Towhee,1976,1.02123,0.528179,2.15632,1970,2017
Abert's Towhee,1977,0.952281,0.503985,2.045276,1970,2017
Abert's Towhee,1978,0.963687,0.505438,2.054483,1970,2017
Abert's Towhee,1979,1.014015,0.539611,2.09696,1970,2017
Abert's Towhee,1980,0.915254,0.480325,1.903987,1970,2017
Abert's Towhee,1981,1.063567,0.575705,2.154117,1970,2017
Abert's Towhee,1982,1.053428,0.572642,2.106522,1970,2017
Abert's Towhee,1983,1.027099,0.559148,2.101942,1970,2017
Abert's Towhee,1984,1.140376,0.630895,2.33685,1970,2017
Abert's Towhee,1985,0.972451,0.534145,1.905684,1970,2017
Abert's Towhee,1986,1.182695,0.667014,2.408703,1970,2017
Abert's Towhee,1987,1.022065,0.567872,1.95323,1970,2017
Abert's Towhee,1988,1.092989,0.623969,2.080487,1970,2017
Abert's Towhee,1989,1.12763,0.645224,2.166924,1970,2017
Abert's Towhee,1990,0.966251,0.551122,1.8006,1970,2017
Abert's Towhee,1991,1.151919,0.687521,2.133783,1970,2017
Abert's Towhee,1992,1.115979,0.66709,2.068833,1970,2017
Abert's Towhee,1993,1.307914,0.785876,2.507342,1970,2017
Abert's Towhee,1994,1.242029,0.753277,2.313279,1970,2017
Abert's Towhee,1995,1.083332,0.656952,1.949294,1970,2017
Abert's Towhee,1996,1.121321,0.690294,1.998725,1970,2017
Abert's Towhee,1997,1.036995,0.619832,1.850269,1970,2017
Abert's Towhee,1998,1.227197,0.754399,2.184293,1970,2017
Abert's Towhee,1999,1.31855,0.814021,2.329731,1970,2017
Abert's Towhee,2000,1.142614,0.699744,2.00145,1970,2017
Abert's Towhee,2001,1.131807,0.693279,2.020534,1970,2017
Abert's Towhee,2002,1.092964,0.656863,1.928675,1970,2017
Abert's Towhee,2003,1.260074,0.775522,2.252704,1970,2017
Abert's Towhee,2004,1.235541,0.763182,2.186058,1970,2017
Abert's Towhee,2005,1.565876,0.950304,2.931482,1970,2017
Abert's Towhee,2006,1.453122,0.894152,2.639138,1970,2017
Abert's Towhee,2007,1.345524,0.816539,2.434147,1970,2017
Abert's Towhee,2008,1.365005,0.837312,2.475763,1970,2017
Abert's Towhee,2009,1.265987,0.777807,2.27409,1970,2017
Abert's Towhee,2010,1.249697,0.764637,2.200326,1970,2017
Abert's Towhee,2011,1.324991,0.809201,2.419452,1970,2017
Abert's Towhee,2012,1.187555,0.684763,2.129761,1970,2017
Abert's Towhee,2013,1.503181,0.898928,2.779368,1970,2017
Abert's Towhee,2014,1.288174,0.769575,2.339594,1970,2017
Abert's Towhee,2015,1.662156,0.998749,3.012412,1970,2017
Abert's Towhee,2016,1.271738,0.746268,2.263949,1970,2017
Abert's Towhee,2017,1.317904,0.772868,2.408593,1970,2017
Acadian Flycatcher,1970,2.212186,1.884234,2.446284,1970,2017
Acadian Flycatcher,1971,2.161325,1.841243,2.392077,1970,2017
Acadian Flycatcher,1972,2.116698,1.822519,2.350338,1970,2017
Acadian Flycatcher,1973,2.142714,1.829946,2.378943,1970,2017
Acadian Flycatcher,1974,2.083328,1.82026,2.32193,1970,2017
Acadian Flycatcher,1975,2.096212,1.821561,2.327081,1970,2017
Acadian Flycatcher,1976,2.138656,1.831247,2.384073,1970,2017
Acadian Flycatcher,1977,2.093065,1.834338,2.318689,1970,2017
Acadian Flycatcher,1978,2.102537,1.820035,2.326413,1970,2017
Acadian Flycatcher,1979,2.130941,1.83973,2.347319,1970,2017
Acadian Flycatcher,1980,2.075402,1.793969,2.290836,1970,2017
Acadian Flycatcher,1981,2.067979,1.790786,2.292019,1970,2017
Acadian Flycatcher,1982,2.007839,1.745861,2.222423,1970,2017
Acadian Flycatcher,1983,1.998956,1.732768,2.221393,1970,2017
Acadian Flycatcher,1984,1.983724,1.741683,2.200983,1970,2017
Acadian Flycatcher,1985,1.981983,1.741583,2.189527,1970,2017
Acadian Flycatcher,1986,2.038551,1.785328,2.26349,1970,2017
Acadian Flycatcher,1987,2.009194,1.757502,2.23476,1970,2017
Acadian Flycatcher,1988,2.093279,1.823921,2.340978,1970,2017
Acadian Flycatcher,1989,1.978431,1.741573,2.183223,1970,2017
