species,sci_name,sort,Breeding.Biome,Winter.Biome,Family,bird.group,Migrate,AI,native,popest,popestlci,popestuci,year_est1,year_est2,Pop.source,Tr_source
Abert's Towhee,Melozone aberti,1817,Aridlands,Southwestern Aridlands,Passerellidae,landbird,R,other,native,890243,429538,1469410,2006,2015,PIF0615,BBS7017
Acadian Flycatcher,Empidonax virescens,1303,Eastern Forest,Mexico-Central America,Tyrannidae,landbird,M,other,native,5227271,4728009,5829898,2006,2015,PIF0615,BBS7017
Acorn Woodpecker,Melanerpes formicivorus,939,Western Forest,Widespread,Picidae,landbird,R,other,native,2226303,1452256,3390813,2006,2015,PIF0615,BBS7017
Alder Flycatcher,Empidonax alnorum,1304,Boreal Forest,South America,Tyrannidae,landbird,M,other,native,117998630,99384651,141184247,2006,2015,PIF0615,BBS7017
Allen's Hummingbird,Selasphorus sasin,342,Aridlands,Mexico-Central America,Trochilidae,landbird,M,other,native,1484682,348049,4475111,2006,2015,PIF0615,BBS7017
American Avocet,Recurvirostra americana,444,Wetland,Widespread,Recurvirostridae,shorebird,M,other,native,450000,180000,1125000,2011,2013,Shoreb12,BBS7017
American Bittern,Botaurus lentiginosus,727,Wetland,Temperate North America,Ardeidae,waterbird,M,other,native,2507797,2005616,3117498,2006,2015,PIF0615,BBS7017
American Black Duck,Anas rubripes,49,Wetland,Temperate North America,Anatidae,waterfowl,M,other,native,583500,500200,666800,2013,2017,FWS1317,BBS7017
American Coot,Fulica americana,435,Wetland,Widespread,Rallidae,waterbird,M,other,native,5517522,4109506,7381712,2006,2015,PIF0615,BBS7017
American Crow,Corvus brachyrhynchos,1395,Habitat Generalist,Temperate North America,Corvidae,landbird,M,other,native,28047630,26447403,29639378,2006,2015,PIF0615,BBS7017
American Dipper,Cinclus mexicanus,1514,Wetland,Temperate North America,Cinclidae,landbird,R,other,native,151919,114060,200186,2006,2015,PIF0615,BBS7017
American Golden-Plover,Pluvialis dominica,452,Arctic Tundra,South America,Charadriidae,shorebird,M,other,native,500000,294200,705800,2011,2013,Shoreb12,Mig7416
American Goldfinch,Spinus tristis,1771,Forest Generalist,Temperate North America,Fringillidae,landbird,M,other,native,44092850,41554624,46767583,2006,2015,PIF0615,BBS7017
American Kestrel,Falco sparverius,998,Habitat Generalist,Widespread,Falconidae,landbird,M,other,native,2827776,2564206,3116508,2006,2015,PIF0615,BBS7017
American Oystercatcher,Haematopus palliatus,446,Coasts,Coastal,Haematopodidae,shorebird,M,other,native,11000,10700,11300,2011,2013,Shoreb12,CBC7017
American Pipit,Anthus rubescens,1678,Arctic Tundra,Temperate North America,Motacillidae,landbird,M,other,native,18034890,17874051,18354686,2006,2015,PIF0615,CBC7017
American Redstart,Setophaga ruticilla,1983,Eastern Forest,Widespread Neotropical,Parulidae,landbird,M,other,native,42464674,37027311,48475245,2006,2015,PIF0615,BBS7017
American Robin,Turdus migratorius,1603,Forest Generalist,Temperate North America,Turdidae,landbird,M,other,native,366076928,337429985,392723825,2006,2015,PIF0615,BBS7017
American Three-toed Woodpecker,Picoides dorsalis,958,Boreal Forest,Temperate North America,Picidae,landbird,R,other,native,1564320,1108671,2160148,2006,2015,PIF0615,BBS7017
American Tree Sparrow,Spizelloides arborea,1828,Arctic Tundra,Temperate North America,Passerellidae,landbird,M,other,native,26412817,19492087,36200474,2006,2015,PIF0615,CBC7017
American White Pelican,Pelecanus erythrorhynchos,724,Wetland,Temperate North America,Pelecanidae,waterbird,M,other,native,414730,299521,546711,2006,2015,PIF0615,BBS7017
American Wigeon,Mareca americana,44,Wetland,Temperate North America,Anatidae,waterfowl,M,other,native,2997300,2640100,3354500,2013,2017,FWS1317,FWS7017
American Woodcock,Scolopax minor,512,Eastern Forest,Temperate North America,Scolopacidae,shorebird,M,other,native,3500000,3000000,4000000,2011,2013,Shoreb12,SGS6817
Ancient Murrelet,Synthliboramphus antiquus,555,Coasts,Marine,Alcidae,waterbird,M,other,native,1000000,500000,1500000,1990,1992,BNA2010,CBC7017
Anhinga,Anhinga anhinga,723,Wetland,Widespread Neotropical,Anhingidae,waterbird,M,other,native,27000,20000,34000,1978,1980,BNA2000,BBS7017
Anna's Hummingbird,Calypte anna,336,Aridlands,Temperate North America,Trochilidae,landbird,M,other,native,8772569,4880026,16549527,2006,2015,PIF0615,BBS7017
Arctic Tern,Sterna paradisaea,615,Arctic Tundra,Coastal,Laridae,waterbird,M,other,native,1000000,250000,1750000,2004,2006,WPE5,BBS9317
Arctic Warbler,Phylloscopus borealis,1526,Arctic Tundra,Widespread,Phylloscopidae,landbird,M,other,native,8201201,2638973,16439186,2006,2015,PIF0615,BBS9317
